Departure Time,Flyby Time,Arrival Time,Distance of Flyby to Jupiter,Delta V,Status Saturn crossed,Crossing distance S/C-Saturn
2038-02-01 00:00:00.000,2039-08-01 00:00:00.000,2041-02-19 00:00:00.000,410000.0 km,39.07099449663403,False,170083011.03127965
2038-02-01 00:00:00.000,2039-08-11 00:00:00.000,2041-03-11 00:00:00.000,410000.0 km,39.02927810391924,False,158391817.13627106
2038-02-01 00:00:00.000,2039-08-21 00:00:00.000,2041-03-31 00:00:00.000,410000.0 km,38.99132046750129,False,147154240.47186074
2038-02-01 00:00:00.000,2039-08-31 00:00:00.000,2041-04-20 00:00:00.000,410000.0 km,38.956836087829004,False,136363559.9080176
2038-02-01 00:00:00.000,2039-09-10 00:00:00.000,2041-05-10 00:00:00.000,410000.0 km,38.92556352282018,False,126014495.14847974
2038-02-01 00:00:00.000,2039-09-20 00:00:00.000,2041-05-29 12:00:00.000,410000.0 km,38.89726308611534,False,116103199.15696606
2038-02-01 00:00:00.000,2039-09-30 00:00:00.000,2041-06-18 00:00:00.000,410000.0 km,38.871714833779286,False,106630485.07148583
2038-02-01 00:00:00.000,2039-10-10 00:00:00.000,2041-07-07 12:00:00.000,410000.0 km,38.84871672631648,True,97600955.22880863
2038-02-01 00:00:00.000,2039-10-20 00:00:00.000,2041-07-27 00:00:00.000,410000.0 km,38.82808298036002,True,89025549.66923718
2038-02-01 00:00:00.000,2039-10-30 00:00:00.000,2041-08-15 12:00:00.000,410000.0 km,38.80964258922401,True,80923512.65536842
2038-02-01 00:00:00.000,2039-11-09 00:00:00.000,2041-09-04 00:00:00.000,410000.0 km,38.7932379979679,True,73325458.40626328
2038-02-01 00:00:00.000,2039-11-19 00:00:00.000,2041-09-23 12:00:00.000,410000.0 km,38.77872394152876,True,66277454.96771177
2038-02-01 00:00:00.000,2039-11-29 00:00:00.000,2041-10-13 00:00:00.000,410000.0 km,38.76596635553202,True,59844603.94528043
2038-02-01 00:00:00.000,2039-12-09 00:00:00.000,2041-11-01 12:00:00.000,410000.0 km,38.75484135340087,True,54115124.22760727
